day,season,consumption
1,wi,173.23861691300147
2,wi,273.5549652367886
3,wi,23.53575864519619
4,wi,82.18223920371786
5,wi,23.53575864519619
6,wi,53.82357919680115
7,wi,136.77748261839432
8,wi,107.64715839360228
9,wi,12.555892358648707
10,wi,82.18223920371786
11,wi,80.6389107679673
12,wi,80.6389107679673
13,wi,86.61930845650075
14,wi,6.2779461793243545
1,mc,36.072876232004866
2,mc,37.022162448636564
3,mc,49.837526373164614
4,mc,37.022162448636564
5,mc,104.12340795746549
6,mc,14.429150492801947
7,mc,20.68076980105168
8,mc,92.03329870244397
9,mc,15.694865448310887
10,mc,125.78042370370116
11,mc,15.694865448310887
12,mc,90.656833688328
13,mc,47.14155351793057
14,mc,65.40582032592461
1,mw,69.95150071736921
2,mw,15.694865448310887
3,mw,48.96605050215846
4,mw,132.44150802488574
5,mw,41.50455709230574
6,mw,6.640729134768918
7,mw,12.353094113626426
8,mw,27.51425694883189
9,mw,15.694865448310887
10,mw,48.96605050215846
11,mw,125.18617053208978
12,mw,94.34125730082529
13,mw,28.03283074081665
14,mw,4.402281111813102
1,su,239.3812718169805
2,su,198.46929238017725
3,su,198.46929238017725
4,su,76.85820636291177
5,su,15.694865448310887
6,su,12.297313018065886
7,su,12.997792873525334
8,su,81.23620545953332
9,su,86.587093244293
10,su,15.694865448310887
11,su,86.587093244293
12,su,47.32130579103834
13,su,33.70086415710461
14,su,42.721166457426044
